Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login jmeter333,1,2170,2170,2170,2170,2170,2170,2170,0.00%,.5,7.9,0.00
Login Test11,1,2154,2154,2154,2154,2154,2154,2154,0.00%,.5,8.0,0.00
Login NewTest,1,452,452,452,452,452,452,452,0.00%,2.2,38.2,0.00
Login Slave,1,324,324,324,324,324,324,324,0.00%,3.1,53.0,0.00
Login Master,1,394,394,394,394,394,394,394,0.00%,2.5,43.7,0.00
Login docker,1,543,543,543,543,543,543,543,0.00%,1.8,31.7,0.00
Login grafana,1,332,332,332,332,332,332,332,0.00%,3.0,52.0,0.00
Login admin,1,390,390,390,390,390,390,390,0.00%,2.6,44.0,0.00
TOTAL,8,844,394,2154,2170,2170,324,2170,0.00%,.9,15.3,763.20
